name,importance,reason,source_url,image_url,gender,species,hair_color,hair_style,hair_length,eye_style,eye_size,face_shape,expression,skin_tone,beard,body_type,age_vibe,cute_level,cool_level,dark_level,funny_level,power_level,hero_level,evil_level,energy_level,confidence_level,match_tags,match_note
Doc Q,7,important supporting character,https://onepiece.fandom.com/wiki/Doc_Q,https://static.wikia.nocookie.net/onepiece/images/c/c4/Doc_Q_Anime_Infobox.png/revision/latest?cb=20240211200456,male,human,white,long,long,droopy,medium,thin,sad,pale,none,thin,old,2,3,5,4,6,1,4,3,2,"anime,character,Doc Q",이 캐릭터는 슬픈 느낌을 줍니다.
Doma,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Doma,https://static.wikia.nocookie.net/onepiece/images/f/fa/Doma_Anime_Infobox.png/revision/latest?cb=20221202185948,male,human,black,short,short,round,medium,square,serious,tan,none,muscular,adult,2,8,5,3,9,4,6,7,9,"muscular, serious, cool, powerful",강력한 느낌의 캐릭터입니다.
Domino,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Domino,https://static.wikia.nocookie.net/onepiece/images/1/11/Domino_Manga_Post_Timeskip_Infobox.png/revision/latest?cb=20170312041522,female,human,blonde,wavy,medium,sharp,medium,oval,confident,light,none,slim,young adult,3,8,5,2,7,4,3,6,9,"confident, stylish, military, wavy hair",강렬한 카리스마를 가지고 있습니다.
Donquixote Doflamingo,9,very major recurring character,https://onepiece.fandom.com/wiki/Donquixote_Doflamingo,https://static.wikia.nocookie.net/onepiece/images/7/7e/Donquixote_Doflamingo_Anime_Infobox.png/revision/latest?cb=20231017082245,male,human,blonde,spiky,short,narrow,medium,angular,smirking,light,none,muscular,adult,2,8,7,3,9,1,9,8,10,"villain, flamboyant, powerful",강렬한 악당의 느낌입니다.
Donquixote Homing,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Donquixote_Homing,https://static.wikia.nocookie.net/onepiece/images/e/e3/Donquixote_Homing_Anime_Infobox.png/revision/latest?cb=20150712150613,male,human,blonde,curly,long,round,medium,oval,smiling,light,mustache,average,adult,4,5,1,3,6,7,2,5,6,"anime, smiling, blonde, mustache",밝고 친근한 느낌입니다.
Dorry,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Dorry,https://static.wikia.nocookie.net/onepiece/images/2/2d/Dorry_Anime_Infobox.png/revision/latest?cb=20250927120409,male,human,green,long,very long,narrow,medium,square,smiling,light,long,muscular,adult,2,7,3,5,9,4,2,8,8,"muscular, warrior, long hair, smiling",강력한 전사 같은 느낌입니다.
Edward Newgate,9,very major recurring character,https://onepiece.fandom.com/wiki/Edward_Newgate,https://static.wikia.nocookie.net/onepiece/images/b/b7/Edward_Newgate_Anime_Infobox.png/revision/latest?cb=20220926165737,male,human,black,short,short,normal,medium,square,smiling,light,none,muscular,adult,2,8,3,1,10,7,2,9,10,"muscular, pirate, strong, leader",강력한 존재감이 느껴진다.
Emporio Ivankov,8,major arc character,https://onepiece.fandom.com/wiki/Emporio_Ivankov,https://static.wikia.nocookie.net/onepiece/images/d/de/Emporio_Ivankov_Anime_Infobox.png/revision/latest?cb=20180624120810,male,human,purple,curly,medium,sharp,large,square,grinning,light,none,muscular,adult,3,5,2,8,7,4,3,9,8,"anime, colorful, flamboyant, strong",재미있고 강력한 캐릭터입니다.
Eustass Kid,9,very major recurring character,https://onepiece.fandom.com/wiki/Eustass_Kid,https://static.wikia.nocookie.net/onepiece/images/4/47/Eustass_Kid_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240505021859,male,human,red,spiky,short,sharp,medium,angular,determined,light,none,muscular,young adult,2,8,6,1,9,7,3,8,9,"anime, pirate, strong, rebellious",강렬한 캐릭터입니다.
Fisher Tiger,8,major arc character,https://onepiece.fandom.com/wiki/Fisher_Tiger,https://static.wikia.nocookie.net/onepiece/images/c/c5/Fisher_Tiger_Anime_Infobox.png/revision/latest?cb=20230214162116,male,human,black,long,medium,round,large,square,serious,light,full,muscular,adult,2,8,6,1,9,7,3,8,9,"muscular,serious,heroic",강력한 존재감이 느껴진다.
Foxy,7,important supporting character,https://onepiece.fandom.com/wiki/Foxy,https://static.wikia.nocookie.net/onepiece/images/7/7d/Foxy_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20251102162706,male,human,black,spiky,short,sharp,medium,angular,grinning,light,none,muscular,adult,2,7,3,6,8,4,5,9,8,"spiky hair, muscular, grinning, anime",재미있고 자신감 넘치는 모습입니다.
